Gene_ID,RAS_61486_ctrl BR input,RAS_61487_ctrl BR IP biol rep1,RAS_61488_ctrl BR IP biol rep2,RAS_61489_icKO BR input,RAS_61490_cKO BR IP biol rep1,RAS_61491_icKO BR IP biol rep2
Cfdp1,2003.0,1619,1775,1942.0,1071,1027
Tmem170,34.0,79,105,43.0,72,63
Chst5,11.0,327,371,22.0,217,180
Tmem231,245.0,172,175,198.0,105,104
Gabarapl2,1898.0,1184,1322,1672.0,644,655
Adat1,151.0,217,253,152.0,239,231
Kars,1483.0,1130,1251,1436.0,872,790
Terf2ip,1933.0,1255,1444,1712.0,974,930
Cntnap4,755.0,388,428,644.0,551,466
Gm10280,0.0,0,0,0.0,2,0
4930571O06Rik,0.0,0,0,0.0,0,0
Mon1b,837.0,956,1215,1040.0,768,739
Syce1l,2.0,6,7,7.0,5,5
Adamts18,91.0,90,102,58.0,72,108
Nudt7,50.0,30,34,64.0,40,43
Vat1l,1784.0,1264,1498,1719.0,1007,994
